id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
2GxrNKugF82CnoRFbQfzPf,Artemas,i like the way you kiss me,i like the way you kiss me,2024-03-19,89,False,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,142515,4,
6pmUIxAL2UU9mQTd0sCVwf,The Vices,In and Out,Looking For Faces,2021-03-12,29,False,0.506,0.703,11,-6.352,0,0.0304,0.00313,0.000645,0.254,0.89,75.84,212643,4,dutch indie;dutch indie rock
730AR8R0KvjxVeHmrYy4OR,Nothing But Thieves,Honey Whiskey,Nothing But Thieves (Deluxe),2015-10-16,50,False,0.561,0.764,1,-5.175,1,0.0422,0.0236,1.37e-05,0.209,0.657,90.004,191947,4,alternative pop rock;modern alternative rock;modern rock
3kgt8Ys78I6GBZlQrWqZiA,Miksu / Macloud,Nachts wach,Nachts wach,2022-07-08,67,True,0.719,0.685,6,-7.083,0,0.257,0.569,0.0,0.263,0.632,136.172,178973,4,german hip hop
4e1U6KRJGed8gh3uRbAv3P,AriBeatz,"MIRAGE (feat. Ozuna, GIMS & Sfera Ebbasta)","MIRAGE (feat. Ozuna, Sfera Ebbasta & GIMS)",2023-04-14,64,True,0.704,0.627,7,-7.165,1,0.356,0.0276,0.0,0.0865,0.402,172.05,206055,4,
6sX8CkFopBSOHX7PFS4VpI,Goldband,You & Me,You & Me,2024-03-28,50,False,0.568,0.873,2,-6.048,1,0.0349,0.000704,0.0385,0.0457,0.251,143.985,282906,4,dutch pop;dutch rock;lustrum;piratenmuziek
4sJ1TnmqyqguvzLxbzi3Nq,Nothing But Thieves,Members Only,Dead Club City,2023-06-30,49,False,0.422,0.804,11,-5.205,1,0.0669,0.000116,0.0593,0.313,0.426,171.074,169133,4,alternative pop rock;modern alternative rock;modern rock
4ZEvO7TZQTbUGJzqjcPFDD,Nothing But Thieves,Impossible,Moral Panic,2020-10-23,56,True,0.51,0.52,5,-7.022,1,0.03,0.0435,6.76e-05,0.0971,0.132,82.99,248399,4,alternative pop rock;modern alternative rock;modern rock
5cIWkWH6xVdEllQ9ksuu2E,Two Door Cinema Club,Sun,Beacon,2012-09-03,61,False,0.647,0.533,4,-5.464,0,0.0281,0.0112,0.000277,0.106,0.639,96.981,187720,4,indie rock;indietronica;irish rock;modern alternative rock;modern rock;northern irish indie
3zEN0ii6s4DHHBpnTp3RP7,Empire Of The Sun,We Are The People,Walking On A Dream (10th Anniversary Edition),2008-10-03,77,False,0.675,0.781,4,-5.404,0,0.0306,0.0801,0.0143,0.422,0.534,122.989,267373,4,australian dance;australian electropop;dance rock;indietronica;neo-synthpop
