id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
6K4t31amVTZDgR3sKmwUJJ,Tame Impala,The Less I Know The Better,Currents,2015-07-17,85,True,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320,4,australian psych;modern rock;neo-psychedelic;rock
409C0oCpMq7DNRojawi1cH,Pete Philly & Perquisite,Mystery Repeats,Mystery Repeats,2007-09-10,41,False,0.813,0.683,5,-8.089,1,0.0784,0.121,0.0638,0.201,0.89,121.005,166467,4,jazz rap
1MWpdDDf3Yk0w6o4oviMFY,Suzan & Freek,Als Het Avond Is,Gedeeld Door Ons,2019-09-27,55,False,0.725,0.47,11,-7.215,1,0.0301,0.528,0.0,0.113,0.45,104.984,205714,4,dutch pop
78bpgo90wgz85ziZWgxmlP,Telekinesis,Falling (In Dreams),Ad Infinitum,2015-09-18,27,False,0.477,0.531,8,-5.749,1,0.0431,0.245,0.00161,0.126,0.271,133.087,159400,4,seattle indie
0v9rbji05qP6JYLSYGF782,mischluft,Breaking My Heart,Breaking My Heart,2023-05-15,49,False,0.732,0.955,11,-8.436,0,0.074,0.00786,0.776,0.0987,0.577,160.002,271875,4,
4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,SOS,2022-12-09,86,True,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,201800,4,pop;r&b;rap
6NYMd9sNlm1kFCI6oxb1Rb,Gotu Jim,Stiekem wil ik DJ zijn,Niet Geslapen Wel Gedoucht,2023-01-13,39,False,0.771,0.575,7,-9.622,1,0.14,0.426,0.146,0.111,0.346,124.993,282475,4,dutch hip hop;lustrum
0SLE0Ym3WhxfHSDR7Qd5pf,Sainté,Stylin',Local Mvp,2021-01-06,63,False,0.641,0.436,6,-10.353,0,0.323,0.636,2.68e-05,0.14,0.535,129.08,158000,4,chill drill
0p24oHzyK4XctH0qmndvdh,Gotu Jim,Nog Een Keer,Nog Een Keer,2024-01-26,27,False,0.743,0.432,1,-12.013,1,0.0436,0.0428,0.153,0.119,0.473,134.998,271220,4,dutch hip hop;lustrum
20HCH8XT2EK1QYe1loAJ8E,Kid Francescoli,Moon (And It Went Like),Play Me Again,2017-03-03,63,False,0.662,0.657,7,-10.002,1,0.0345,0.289,0.868,0.103,0.0563,117.986,390639,4,french indie pop;french indietronica
7cAMlhhz8JyULNYexSHloC,Frizzy P & Mr Cole,Blue,Ladi Dadi,2017-04-21,52,False,0.77,0.452,11,-7.037,1,0.0884,0.0627,3.49e-05,0.077,0.466,85.234,193354,4,hip-hop experimental
