id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,listener
3Qa944OTMZkg8DHjET8JQv,Mac Miller,Woods,Circles,2020,65,0,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,286387,4,hip hop;pittsburgh rap;rap,0
3GZD6HmiNUhxXYf8Gch723,Frank Ocean,Lost,channel ORANGE,2012,83,1,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,234093,4,lgbtq+ hip hop;neo soul,0
0YJ9FWWHn9EfnN0lHwbzvV,Radiohead,Jigsaw Falling Into Place,In Rainbows,2007,75,0,0.462,0.832,11,-6.085,0,0.0479,0.108,0.00416,0.0741,0.807,165.653,248893,4,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0
5ruzrDWcT0vuJIOMW7gMnW,The Strokes,The Adults Are Talking,The New Abnormal,2020,79,0,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053,4,alternative rock;garage rock;modern rock;permanent wave;rock,0
4CeeEOM32jQcH3eN9Q2dGj,Nirvana,Smells Like Teen Spirit,Nevermind (Remastered),1991,82,0,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,4,grunge;permanent wave;rock,0
0FMz7ipH6rTAolvWIKzU9i,Goldkimono,To Tomorrow,The Legend Of The Goldkimono,2022,49,0,0.665,0.688,1,-7.466,0,0.0398,0.342,0.000111,0.395,0.548,95.008,204085,4,,0
70LcF31zb1H0PyJoS1Sx1r,Radiohead,Creep,Pablo Honey,1993,87,1,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,4,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0
5eyTC5GZzpzlN7YRO9AoPf,Arctic Monkeys,The View From The Afternoon,"Whatever People Say I Am, That's What I'm Not",2006,60,0,0.387,0.922,9,-5.192,0,0.0674,0.00487,0.0,0.187,0.417,146.478,222947,4,garage rock;modern rock;permanent wave;rock;sheffield indie,0
4i7dSg0ZLLXpjyp0H2N8NX,Goldkimono,Electric Swing,The Legend Of The Goldkimono,2022,51,0,0.878,0.598,1,-9.763,1,0.0925,0.0486,0.187,0.0422,0.684,114.049,139401,4,,0
1BpKJw4RZxaFB88NE5uxXf,Playboi Carti,ILoveUIHateU,Whole Lotta Red,2020,77,1,0.684,0.693,4,-6.651,0,0.0339,0.00534,0.0,0.506,0.108,134.988,135122,4,atl hip hop;plugg;pluggnb;rage rap;rap,0
0Xcy81PsJCOO6mhLZaQyQ4,Mac Miller,Perfecto,Swimming,2018,60,1,0.599,0.317,1,-11.212,1,0.174,0.748,0.0,0.111,0.203,148.09,215413,4,hip hop;pittsburgh rap;rap,0
5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,Everlong,The Colour And The Shape,1997,83,0,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,4,alternative metal;alternative rock;modern rock;permanent wave;post-grunge;rock,0
